PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
0.295935,1.211806,0.2235446,0.2246765,-0.56945,-0.7220905,-0.3222307
0.2980181,1.212417,0.2164479,0.2400715,-0.5856595,-0.6900567,-0.3509848
0.3004803,1.210765,0.2094145,0.2587562,-0.5955667,-0.6405312,-0.4099578
0.3028691,1.209866,0.2027155,0.2774248,-0.6028919,-0.5887467,-0.4614479
0.3055755,1.208472,0.1961367,0.2964247,-0.6052671,-0.5280566,-0.5166627
0.3085935,1.206441,0.1896463,0.3106689,-0.6054198,-0.4684381,-0.563487
0.312759,1.203395,0.1839692,0.3177674,-0.6051762,-0.4119315,-0.6025763
0.3181908,1.197955,0.1801412,0.3148404,-0.6086136,-0.3626899,-0.631602
0.3232168,1.191591,0.1787985,0.3032185,-0.6093113,-0.3284131,-0.6549374
0.3271524,1.184384,0.1787063,0.2972222,-0.5920088,-0.2879302,-0.6915785
0.3304473,1.176984,0.1797918,0.2880151,-0.5797955,-0.2463063,-0.7212611
0.3339712,1.169125,0.1813779,0.2770026,-0.5649545,-0.1966944,-0.7519358
0.3370857,1.160677,0.1840761,0.2624988,-0.5400882,-0.1472947,-0.7859411
0.3388887,1.152021,0.1881846,0.2480136,-0.5156601,-0.1099777,-0.8127046
0.3385696,1.143604,0.1933799,0.2392457,-0.4944674,-0.08756907,-0.8310205
0.338478,1.135885,0.1973592,0.2298589,-0.4748768,-0.05749841,-0.8475558
0.3360572,1.128459,0.2022851,0.2212705,-0.45525,-0.03577619,-0.8616884
0.334778,1.121539,0.2057631,0.2134664,-0.4317369,-0.0006140674,-0.876376
0.3317176,1.115914,0.2090195,0.2088845,-0.4142514,0.02909123,-0.8853908
0.3284169,1.110461,0.212288,0.2031981,-0.3989966,0.0480881,-0.8928605
0.3233333,1.105776,0.21573,0.2021815,-0.3749805,0.05593375,-0.9029859
0.3162191,1.102109,0.2194111,0.1993646,-0.3381611,0.06321386,-0.9175538
0.3098029,1.09876,0.2221767,0.1985028,-0.3161333,0.06908034,-0.9251402
0.3020096,1.096943,0.223829,0.2042745,-0.2973366,0.06745977,-0.9302215
0.2933679,1.09597,0.2249309,0.2128368,-0.2769352,0.05681156,-0.9352967
0.2842726,1.095824,0.2253457,0.2240331,-0.2529913,0.04420373,-0.9401333
0.2758259,1.096589,0.2249451,0.2349603,-0.2267619,0.04205464,-0.9442479
0.2678305,1.096979,0.2245675,0.2433983,-0.2034524,0.03908944,-0.9475423
0.2593825,1.097771,0.2238692,0.2503567,-0.1719863,0.03629541,-0.9520635
0.2509414,1.099092,0.2219502,0.2597791,-0.133199,0.03875807,-0.955652
0.2430147,1.09982,0.2199657,0.2619063,-0.09290261,0.03895294,-0.9598213
0.2350776,1.099742,0.2192721,0.2597223,-0.06794658,0.025774,-0.9629451
0.2267393,1.098826,0.2189334,0.2501638,-0.04823298,-0.004775194,-0.9669896
0.2188809,1.097855,0.2178322,0.2452409,-0.0240164,-0.02781438,-0.9687654
0.2121321,1.097051,0.215943,0.2422507,-0.001360735,-0.04750474,-0.969049
0.2067551,1.096502,0.214159,0.2396777,0.01833124,-0.0583122,-0.9689264
0.2032584,1.095384,0.2128853,0.2319069,0.03354865,-0.06645515,-0.9698853
0.1984486,1.09347,0.2120309,0.2203311,0.05327935,-0.08406952,-0.9703339
0.1938034,1.089807,0.2110533,0.2041721,0.0722998,-0.1146294,-0.9695085
0.1892181,1.08602,0.2097387,0.1930788,0.08782893,-0.1517852,-0.9653848
0.1865964,1.081864,0.2088079,0.1840032,0.09341889,-0.1898749,-0.9598767
0.1853535,1.077425,0.2091526,0.1665366,0.09629733,-0.2243561,-0.9553307
0.1866032,1.072606,0.2108257,0.148755,0.08391801,-0.2628253,-0.9496065
0.1877715,1.067997,0.2123414,0.1305013,0.07288323,-0.3012128,-0.9417687
0.1914403,1.062876,0.2148163,0.1058409,0.05300612,-0.3409972,-0.9325819
0.195227,1.058479,0.2167721,0.08936002,0.03047602,-0.3796211,-0.9203118
0.2013724,1.055638,0.2186477,0.08176295,0.0001567033,-0.4142217,-0.9064961
0.2075083,1.053915,0.2205738,0.07153692,-0.0268844,-0.4404735,-0.894507
0.2153307,1.052931,0.2227613,0.05441316,-0.05993212,-0.4623134,-0.883014
0.2236059,1.052176,0.2241975,0.04525917,-0.1010291,-0.4945139,-0.8620909
0.2308024,1.051827,0.2247767,0.0427095,-0.1377903,-0.5292485,-0.8361135
0.2384806,1.053169,0.2241254,0.03965385,-0.1732287,-0.5511406,-0.8152689
0.2452824,1.054969,0.2228915,0.03783412,-0.2039493,-0.5671681,-0.7970531
0.251738,1.056822,0.221685,0.03675833,-0.234145,-0.583085,-0.7770694
0.258121,1.05919,0.2203947,0.03989456,-0.269129,-0.6011196,-0.7514209
0.2646901,1.062229,0.2189413,0.04464243,-0.3070513,-0.6132987,-0.7263548
0.2706946,1.066541,0.2170276,0.05165384,-0.3458633,-0.6133932,-0.7081378
0.2752119,1.071581,0.2143323,0.06569134,-0.3808201,-0.6054937,-0.6957286
0.2770537,1.077725,0.2101944,0.08962315,-0.4089343,-0.5804235,-0.6984618
0.277779,1.082156,0.2054759,0.116949,-0.4282846,-0.5538753,-0.704356
0.2796409,1.085814,0.20127,0.1403356,-0.4506165,-0.5287759,-0.7054408
0.2824395,1.089954,0.1967721,0.1684015,-0.4846471,-0.4985666,-0.6987056
0.2860096,1.094221,0.1916136,0.1962692,-0.526461,-0.4686626,-0.681669
0.2886258,1.097523,0.1856567,0.2215001,-0.5618768,-0.4395717,-0.6648375
0.288626,1.097771,0.1794692,0.2495521,-0.5781171,-0.4145447,-0.6570061
0.2880802,1.096663,0.1747946,0.2738401,-0.5892094,-0.3940066,-0.650079
0.2878661,1.094905,0.1706102,0.2950787,-0.6018207,-0.3623562,-0.6476407
0.2883151,1.09457,0.1653812,0.3237272,-0.6186836,-0.3205663,-0.6400536
